ticker,name,sector,industry,cik,index_member,sic_code,sic_desc
GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs,1526113,SP600,6798,Real Estate Investment Trusts
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,1276520,SP600,6311,Life Insurance
GO,Grocery Outlet,Consumer Staples,Food Retail,1771515,SP600,5411,Retail-Grocery Stores
GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services,1537054,SP600,4899,"Communications Services, NEC"
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,1672013,SP600,3949,"Sporting & Athletic Goods, NEC"
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,1031203,SP600,5500,Retail-Auto Dealers & Gasoline Stations
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,1373670,SP600,1531,Operative Builders
GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers,1726978,SP600,6411,"Insurance Agents, Brokers & Service"
GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components,1718512,SP600,3560,General Industrial Machinery & Equipment
GTM,ZoomInfo,Communication Services,Interactive Media & Services,1794515,SP600,7372,Services-Prepackaged Software
GTY,Getty Realty Corp.,Real Estate,Retail REITs,1052752,SP600,6500,Real Estate
GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering,861459,SP600,1600,Heavy Construction Other Than Bldg Const - Contractors
HAFC,Hanmi Financial Corporation,Financials,Regional Banks,1109242,SP600,6021,National Commercial Banks
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance,1561894,SP600,6799,"Investors, NEC"
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment,1834622,SP600,3580,Refrigeration & Service Industry Machinery
HCC,"Warrior Met Coal, Inc.",Materials,Steel,1691303,SP600,1220,Silver Ores
HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance,1400810,SP600,6331,"Fire, Marine & Casualty Insurance"
HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services,731012,SP600,8050,Services-Nursing & Personal Care Facilities
HE,"Hawaiian Electric Industries, Inc.",Utilities,Electric Utilities,354707,SP600,4911,Electric Services
HFWA,Heritage Financial Corporation,Health Care,Regional Banks,1046025,SP600,6036,"Savings Institutions, Not Federally Chartered"
HIW,Highwoods Properties,Real Estate,Office REITs,921082,SP600,6798,Real Estate Investment Trusts
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,851310,SP600,3663,Radio & Tv Broadcasting & Communications Equipment
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,866829,SP600,1389,"Oil & Gas Field Services, NEC"
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,850141,SP600,6331,"Fire, Marine & Casualty Insurance"
HNI,HNI Corporation,Industrials,Office Services & Supplies,48287,SP600,2522,Office Furniture (No Wood)
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,1128361,SP600,6021,National Commercial Banks
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,46765,SP600,1381,Drilling Oil & Gas Wells
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,1802665,SP600,2834,Pharmaceutical Preparations
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,1095565,SP600,7370,"Services-Computer Programming, Data Processing, Etc."
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,1265131,SP600,6022,State Commercial Banks
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,799233,SP600,4213,Trucking (No Local)
HTO,H2O America,Utilities,Water Utilities,766829,SP600,4941,Water Supply
HTZ,Hertz,Industrials,Passenger Ground Transportation,1657853,SP600,7510,Services-Auto Rental & Leasing (No Drivers)
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,940942,SP600,4731,Arrangement of  Transportation of  Freight & Cargo
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,46250,SP600,5160,Wholesale-Chemicals & Allied Products
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,1057060,SP600,5531,Retail-Auto & Home Supply Stores
IAC,IAC Inc.,Communication Services,Publishing,1800227,SP600,7370,"Services-Computer Programming, Data Processing, Etc."
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,917520,SP600,3841,Surgical & Medical Instruments & Apparatus
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,1580905,SP600,1520,General Bldg Contractors - Residential Bldgs
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Materials & Equipment,1652535,SP600,3674,Semiconductors & Related Devices
